year,county_code,deaths,population,crude_rate
1999,17097,27,633094,4.26
1999,17111,10,255448,3.91469105258213
1999,17119,32,258739,12.37
1999,17143,20,184042,10.87
1999,17161,11,149961,7.335240495862257
1999,17163,57,256201,22.25
1999,17167,21,188957,11.11
1999,17197,32,486207,6.58
1999,17201,27,276752,9.76
1999,18003,26,328699,7.91
1999,18019,13,95651,13.591075890476837
1999,18035,11,118772,9.261442090728455
1999,18039,12,180645,6.642863073984888
1999,18053,10,73740,13.561160835367508
1999,18081,10,113173,8.836029795092468
1999,18089,124,484792,25.58
1999,18095,18,133334,13.499932500337497
1999,18097,156,857461,18.19
1999,18105,12,120325,9.972989819239558
1999,18127,13,145815,8.91540650824675
1999,18141,28,264952,10.57
1999,18163,16,171966,9.304164776758197
1999,18167,10,106231,9.413448051886926
1999,19113,10,189931,5.265069946454238
1999,19153,32,370592,8.63
1999,20057,10,31992,31.257814453613403
1999,20091,30,443434,6.77
1999,20103,13,68368,19.01474373976129
1999,20173,45,451808,9.96
1999,20177,23,169499,13.57
1999,20209,44,157980,27.85
1999,21067,33,258704,12.76
1999,21093,11,93269,11.793843613633683
1999,21111,83,691879,12.0
1999,21117,19,150914,12.589951893131188
1999,21121,10,31582,31.66360585143436
1999,21145,13,65553,19.831281558433634
1999,21199,10,55993,17.85937527905274
1999,21227,16,91550,17.476788640087385
1999,22005,17,74662,22.76928022287107
1999,22015,12,97284,12.335019119279634
1999,22017,59,251876,23.42
1999,22019,22,183417,11.99
1999,22033,77,412110,18.68
1999,22045,11,73243,15.018500061439319
1999,22051,90,457571,19.67
1999,22055,23,190049,12.1
1999,22057,12,90062,13.32415447136417
1999,22063,16,89799,17.817570351562935
1999,22071,163,485511,33.57
1999,22073,22,147190,14.95
1999,22079,20,126104,15.86
1999,22087,14,67659,20.69199958616001
1999,22097,12,87034,13.78771514580509
1999,22103,18,188947,9.52648097085426
1999,22105,18,99643,18.064490230121535
1999,22109,18,104507,17.223726640320745
1999,23001,10,103403,9.670899296925622
1999,23005,23,263931,8.71
1999,23019,15,144902,10.351823991387281
1999,23031,15,182817,8.204926237713122
1999,24003,30,484800,6.19
1999,24005,55,749425,7.34
1999,24013,11,149149,7.375175160410059
1999,24017,12,118571,10.120518507898222
1999,24021,14,191606,7.306660542989259
1999,24025,13,216408,6.0071716387564225
1999,24027,12,243007,4.938129354298436
1999,24031,35,862350,4.06
1999,24033,133,795048,16.73
1999,24043,12,131178,9.14787540593697
1999,24045,13,83714,15.529063239123683
1999,24510,263,657441,40.0
1999,25005,11,531208,2.07075194650683
1999,25009,20,718629,2.78
1999,25013,32,455391,7.03
1999,25017,27,1459797,1.85
1999,25021,16,648262,2.468137882522807
1999,25023,18,469065,3.8374212529180394
1999,25025,27,689109,3.92
1999,25027,23,744571,3.09
1999,26017,10,110295,9.066594133913595
1999,26021,15,162028,9.257659170019997
1999,26025,12,138021,8.694329123828982
1999,26049,54,434409,12.43
1999,26065,21,280035,7.5
1999,26075,10,157085,6.365980201801573
1999,26077,18,237581,7.576363429735543
1999,26081,34,568731,5.98
1999,26093,12,153033,7.841445962635509
1999,26099,72,783828,9.19
1999,26121,15,169331,8.858389780961549
1999,26125,81,1188498,6.82
1999,26145,21,210400,9.98
1999,26147,16,163096,9.81017314955609
1999,26161,14,318270,4.398780909290854
1999,26163,472,2072114,22.78
1999,27003,14,293599,4.768408611745953
1999,27053,68,1109634,6.13
1999,27109,11,122585,8.973365419912714
1999,27123,18,509175,3.5351303579319486
1999,27137,18,200164,8.992626046641753
1999,28001,11,34591,31.800179237373882
1999,28027,13,30836,42.158516020236085
1999,28033,13,103343,12.579468372313556
1999,28047,25,188565,13.26
1999,28049,67,250823,26.71
1999,28059,22,130392,16.87
1999,28067,13,64797,20.06265722178496
1999,28083,13,38169,34.0590531583222
1999,28085,10,33004,30.299357653617747
1999,28089,11,73640,14.937533948940793
1999,28095,10,38013,26.30678978244285
1999,28123,12,28185,42.57583821181479
1999,28151,11,63714,17.264651410992876
1999,29047,24,181984,13.19
1999,29077,24,238802,10.05
1999,29095,143,654073,21.86
1999,29097,14,103740,13.49527665317139
1999,29099,16,196287,8.151329430884369
1999,29155,10,20216,49.46576968737634
1999,29183,25,277961,8.99
1999,29189,92,1016040,9.05
1999,29510,98,350156,27.99
1999,30013,10,80596,12.40756365080153
1999,30063,10,94791,10.549524743910286
1999,30111,12,128736,9.321401938851603
1999,31055,60,460798,13.02
1999,31109,10,247442,4.041351104501257
1999,31153,10,121025,8.262755629002273
1999,32003,256,1321254,19.38
1999,32007,11,45134,24.371870430274296
1999,32031,52,332833,15.62
1999,32510,16,51953,30.797066579408312
1999,33011,22,376407,5.84
1999,33015,16,273853,5.842550565449347
1999,34001,15,250432,5.989649884998722
1999,34003,14,880225,1.5905024283563862
1999,34005,24,420542,5.71
1999,34007,37,509410,7.26
1999,34011,12,146293,8.202716466269747
1999,34013,82,789678,10.38
